title,duration,company
Forecasting in R,5,DATACAMP
Functions for Manipulating Data in SQL Server,4,DATACAMP
Dimensionality Reduction in Python,4,DATACAMP
Importing and Managing Financial Data in Python,5,DATACAMP
Supervised Learning in R: Regression,4,DATACAMP
Joining Data with data.table in R,4,DATACAMP
Communicating with Data in the Tidyverse,4,DATACAMP
Customer Analytics and A/B Testing in Python,4,DATACAMP
Building Chatbots in Python,4,DATACAMP
Advanced Deep Learning with Keras,4,DATACAMP
Connecting Data in Tableau,4,DATACAMP
Machine Learning for Business,2,DATACAMP
Image Processing with Keras in Python,4,DATACAMP
Introduction to Regression with statsmodels in Python,4,DATACAMP
Credit Risk Modeling in Python,4,DATACAMP
Interactive Data Visualization with plotly in R,4,DATACAMP
Data-Driven Decision Making in SQL,4,DATACAMP
Winning a Kaggle Competition in Python,4,DATACAMP
Machine Learning with caret in R,4,DATACAMP
Intermediate R for Finance,5,DATACAMP
Introduction to Linear Modeling in Python,4,DATACAMP
Financial Modeling in Spreadsheets,4,DATACAMP
Sentiment Analysis in Python,4,DATACAMP
Introduction to Financial Concepts in Python,4,DATACAMP
Data Processing in Shell,4,DATACAMP
Writing Functions and Stored Procedures in SQL Server,4,DATACAMP
Introduction to Spark SQL in Python,4,DATACAMP
Parallel Programming with Dask in Python,4,DATACAMP
Statistical Simulation in Python,4,DATACAMP
Advanced NLP with spaCy,5,DATACAMP
Reporting in SQL,4,DATACAMP
Feature Engineering for NLP in Python,4,DATACAMP
Transactions and Error Handling in SQL Server,4,DATACAMP
Analyzing Social Media Data in Python,4,DATACAMP
Multiple and Logistic Regression in R,4,DATACAMP
Reshaping Data with tidyr,4,DATACAMP
Building and Optimizing Triggers in SQL Server,4,DATACAMP
Introduction to Portfolio Analysis in Python,4,DATACAMP
Applying SQL to Real-World Problems,4,DATACAMP
Introduction to MongoDB in Python,4,DATACAMP
Categorical Data in the Tidyverse,4,DATACAMP
Machine Learning with PySpark,4,DATACAMP
Foundations of Inference,4,DATACAMP
Marketing Analytics in Spreadsheets,4,DATACAMP
Visualizing Geospatial Data in R,4,DATACAMP
Machine Learning for Finance in Python,4,DATACAMP
A/B Testing in R,4,DATACAMP
Introduction to AWS Boto in Python,4,DATACAMP
Introduction to Portfolio Risk Management in Python,4,DATACAMP
Hierarchical and Mixed Effects Models in R,4,DATACAMP
Writing Efficient Code with pandas,4,DATACAMP
Interactive Data Visualization with Bokeh,4,DATACAMP
Introduction to Bioconductor in R,4,DATACAMP
Building Recommendation Engines in Python,4,DATACAMP
Working with the Class System in Python,4,DATACAMP
Market Basket Analysis in Python,4,DATACAMP
Introduction to Predictive Analytics in Python,4,DATACAMP
Customer Segmentation in Python,4,DATACAMP
Credit Risk Modeling in R,4,DATACAMP
Data Visualization with ggplot2 (Part 3),6,DATACAMP
Web Scraping in R,4,DATACAMP
Data Visualization in R with ggvis,4,DATACAMP
Working with Geospatial Data in Python,4,DATACAMP
Fundamentals of Bayesian Data Analysis in R,4,DATACAMP
Marketing Analytics: Predicting Customer Churn in Python,4,DATACAMP
