title,duration,company
Database Architecture Scale and NoSQL with Elasticsearch, 27,COURSERA
Understanding and Visualizing Data with Python, 27,COURSERA
Inferential Statistical Analysis with Python, 27,COURSERA
Fitting Statistical Models to Data with Python, 27,COURSERA
Advanced React, 27,COURSERA
Principles of UX/UI Design, 27,COURSERA
React Basics, 27,COURSERA
Version Control, 27,COURSERA
Programming with JavaScript, 27,COURSERA
Front-End Developer Capstone, 27,COURSERA
Coding Interview Preparation, 27,COURSERA
HTML and CSS in depth, 27,COURSERA
Introduction to Front-End Development, 27,COURSERA
Web Application Technologies and Django, 27,COURSERA
Building Web Applications in Django, 27,COURSERA
Django Features and Libraries, 27,COURSERA
Using JavaScript and JSON in Django, 27,COURSERA
Database Structures and Management with MySQL, 27,COURSERA
Database Engineer Capstone, 27,COURSERA
Programming in Python, 27,COURSERA
Advanced MySQL Topics, 27,COURSERA
Database Clients, 27,COURSERA
Advanced Data Modeling, 27,COURSERA
Coding Interview Preparation, 27,COURSERA
Introduction to Databases, 27,COURSERA
Start the UX Design Process: Empathize Define and Ideate, 27,COURSERA
Design a User Experience for Social Good & Prepare for Jobs, 27,COURSERA
Create High-Fidelity Designs and Prototypes in Figma, 27,COURSERA
Build Wireframes and Low-Fidelity Prototypes, 27,COURSERA
Foundations of User Experience (UX) Design, 27,COURSERA
Build Dynamic User Interfaces (UI) for Websites, 27,COURSERA
Conduct UX Research and Test Early Concepts, 27,COURSERA
Back-End Developer Capstone, 27,COURSERA
Django Web Framework, 27,COURSERA
The Full Stack, 27,COURSERA
Introduction to Databases for Back-End Development, 27,COURSERA
Introduction to Back-End Development, 27,COURSERA
APIs, 27,COURSERA
Responsive Website Basics: Code with HTML CSS and JavaScript, 27,COURSERA
Data Visualization with Python, 27,COURSERA
IBM Data Analyst Capstone Project, 27,COURSERA
Getting and Cleaning Data, 27,COURSERA
R Programming, 27,COURSERA
Introduction to Git and GitHub, 27,COURSERA
Attract and Engage Customers with Digital Marketing, 27,COURSERA
Foundations of Project Management, 27,COURSERA
Launching into Machine Learning, 27,COURSERA
Project Planning: Putting It All Together, 27,COURSERA
Build with Claude,20,ANTHROPIC
Agent to Agent,20,GOOGLE
MCP: Build Rich-Context AI Apps with Anthropic,4,DEEPLEARNING.AI
Building AI Voice Agents for Production,4,DEEPLEARNING.AI
Building AI Browser Agents,4,DEEPLEARNING.AI
Vibe Coding 101 with Replit,4,DEEPLEARNING.AI
Getting Structured LLM Output,4,DEEPLEARNING.AI
Evaluating AI Agents,4,DEEPLEARNING.AI
Building Your Own Database Agent,4,DEEPLEARNING.AI
AI Agents in LangGraph,4,DEEPLEARNING.AI
Function-calling and data extraction with LLMs,4,DEEPLEARNING.AI
Prompt Compression and Query Optimization,4,DEEPLEARNING.AI
Embedding Models: from Architecture to Implementation,4,DEEPLEARNING.AI
Multi AI Agent Systems with crewAI,4,DEEPLEARNING.AI
